ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
187,187,Orneodes longipalpella,"Caradja, 1939",species,,Orneodes,,longipalpella,,139,24,1939,ICZN,established,,
188,188,Alucita longipenis,"Ustjuzhanin & Kovtunovich, 2018",species,,Alucita,,longipenis,,99,,2018,ICZN,established,,
189,189,Alucita ludmila,"Ustjuzhanin & Kovtunovich, 2018",species,,Alucita,,ludmila,,99,127,2018,ICZN,established,,
190,191,Alucita lyristis,"(Meyrick, 1911)",species,,Alucita,,lyristis,,,,,ICZN,established,,
191,191,Orneodes lyristis,"Meyrick, 1911",species,,Orneodes,,lyristis,,55,107,1911,ICZN,established,,
192,192,Alucita mabilabolensis,"Gielis, 2009",species,,Alucita,,mabilabolensis,,22,21,2009,ICZN,established,,
193,194,Alucita magadis,"(Meyrick, 1908)",species,,Alucita,,magadis,,,,,ICZN,established,,
194,194,Orneodes magadis,"Meyrick, 1908",species,,Orneodes,,magadis,,53,510,1908,ICZN,established,,https://www.biodiversitylibrary.org/page/13535052
195,196,Alucita major,"(Rebel, 1905)",species,,Alucita,,major,,80,42,1994,ICZN,established,,
196,196,Orneodes desmodactyla var. major,"Rebel, 1905",variety,,Orneodes,,desmodactyla,major,140,210,1905,ICZN,established,,https://www.biodiversitylibrary.org/page/5325364
197,197,Alucita malawica,"Ustjuzhanin & Kovtunovich, 2016",species,,Alucita,,malawica,,96,,2016,ICZN,established,,
198,198,Alucita manneringi,"Gielis, 2009",species,,Alucita,,manneringi,,22,21,2009,ICZN,established,,
199,200,Alucita maxima,"(Turati, 1924)",species,,Alucita,,maxima,,,,,ICZN,established,,
200,200,Orneodes maxima,"Turati, 1924",species,,Orneodes,,maxima,,86,151,1924,ICZN,established,,
201,201,Alucita melanodactyla,"Legrand, 1965",species,,Alucita,,melanodactyla,,141,52,1965,ICZN,established,,
202,202,Alucita meloui,"Ustjuzhanin & Kovtunovich, 2016",species,,Alucita,,meloui,,103,1115,2016,ICZN,established,,
203,204,Alucita mesolychna,"(Meyrick, 1908)",species,,Alucita,,mesolychna,,,,,ICZN,established,,
204,204,Orneodes mesolychna,"Meyrick, 1908",species,,Orneodes,,mesolychna,,53,508,1908,ICZN,established,,https://www.biodiversitylibrary.org/page/13535050
205,206,Alucita microdesma,"(Meyrick, 1929)",species,,Alucita,,microdesma,,,,,ICZN,established,,
206,206,Orneodes microdesma,"Meyrick, 1929",species,,Orneodes,,microdesma,,66,534,1929,ICZN,established,,https://www.biodiversitylibrary.org/page/60297894
207,208,Alucita micrographa,"(Diakonoff, 1954)",species,,Alucita,,micrographa,,,,,ICZN,established,,
208,208,Orneodes micrographa,"Diakonoff, 1954",species,,Orneodes,,micrographa,,14,181,1954,ICZN,established,,
209,210,Alucita microscopica,"(Fletcher, 1910)",species,,Alucita,,microscopica,,,,,ICZN,established,,
210,210,Orneodes microscopica,"Fletcher, 1910",species,,Orneodes,,microscopica,,134,165,1910,ICZN,established,,https://www.biodiversitylibrary.org/page/59022190
211,211,Alucita mischenini,"Ustjuzhanin & Kovtunovich, 2018",species,,Alucita,,mischenini,,99,130,2018,ICZN,established,,
212,213,Alucita molliflua,"(Meyrick, 1927)",species,,Alucita,,molliflua,,,,,ICZN,established,,
213,213,Orneodes molliflua,"Meyrick, 1927",species,,Orneodes,,molliflua,,64,373,1927,ICZN,established,,https://www.biodiversitylibrary.org/page/60297733
214,214,Alucita montana,"Barnes & Lindsey, 1921",species,,Alucita,,montana,,38,555-561,2004,ICZN,established,,
215,215,Alucita montana,"Cockerell, 1889",species,,Alucita,,montana,,12,,1889,ICZN,established,,
216,217,Alucita montigena,"(Fletcher, 1910)",species,,Alucita,,montigena,,,,,ICZN,established,,
217,217,Orneodes montigena,"Fletcher, 1910",species,,Orneodes,,montigena,,134,159,1910,ICZN,established,,https://www.biodiversitylibrary.org/page/59022184
218,219,Alucita mulciber,"(Meyrick, 1932)",species,,Alucita,,mulciber,,,,,ICZN,established,,
219,219,Orneodes mulciber,"Meyrick, 1932",species,,Orneodes,,mulciber,,68,333,1932,ICZN,established,,https://www.biodiversitylibrary.org/page/60387005
220,220,Alucita murphy,"Ustjuzhanin & Kovtunovich, 2016",species,,Alucita,,murphy,,96,,2016,ICZN,established,,
221,221,Alucita murzini,"Ustjuzhanin & Kovtunovich, 2016",species,,Alucita,,murzini,,103,,2016,ICZN,established,,
222,478,Alucita nannodactyla,"(Rebel, 1907)",species,,Alucita,,nannodactyla,,,,,ICZN,established,,
223,223,Alucita nasuta,"Zeller, 1877",species,,Alucita,,nasuta,,129,486,1877,ICZN,established,,https://www.biodiversitylibrary.org/page/12834728
