ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInPage,remarks
922,922,Melittia satyriniformis,"Hübner, [1827-1831]",species,,Melittia,,satyriniformis,,,Hübner_1827_1831,17,
923,922,Eichlinia satyriniformis,"(Hübner, [1827-1831])",species,,Eichlinia,,satyriniformis,,,Hübner_1827_1831,17,
924,924,Trochilium ceto,"Westwood, 1848",species,,Trochilium,,ceto,,,Westwood_1848,62,
925,924,Eichlinia ceto,"(Westwood, 1848)",species,,Eichlinia,,ceto,,,Westwood_1848,62,
926,926,Melittia amoena,"Edwards, 1882",species,,Melittia,,amoena,,,Edwards_1882a,53,
927,926,Eichlinia amoena,"(Edwards, 1882)",species,,Eichlinia,,amoena,,,Edwards_1882a,53,
928,929,Eichlinia eichlini,"(Friedlander, 1986)",species,,Eichlinia,,eichlini,,,Friedlander_1986,278,
929,929,Melittia eichlini,"Friedlander, 1986",species,,Melittia,,eichlini,,,Friedlander_1986,278,
930,931,Eichlinia faulkneri,"(Eichlin, 1992)",species,,Eichlinia,,faulkneri,,,Eichlin_1992,141,
931,931,Melittia faulkneri,"Eichlin, 1992",species,,Melittia,,faulkneri,,,Eichlin_1992,141,
932,933,Eichlinia gilberti,"(Eichlin, 1992)",species,,Eichlinia,,gilberti,,,Eichlin_1992,140,
933,933,Melittia gilberti,"Eichlin, 1992",species,,Melittia,,gilberti,,,Eichlin_1992,140,
934,935,Eichlinia gloriosa,"(Edwards, 1880)",species,,Eichlinia,,gloriosa,,,Edwards_1880,71,
935,935,Melittia gloriosa,"Edwards, 1880",species,,Melittia,,gloriosa,,,Edwards_1880,71,
936,936,Melittia superba,"Barnes & Lindsey, 1922",species,,Melittia,,superba,,,Barnes_Lindsey_1922,122,
937,936,Eichlinia superba,"(Barnes & Lindsey, 1922)",species,,Eichlinia,,superba,,,Barnes_Lindsey_1922,122,
938,,Eichlinia barnesi,"(Dalla Torre, 1925)",species,,Eichlinia,,barnesi,,,Dalla_Torre_Strand_1925,138,
939,,Eichlinia lindseyi,"(Barnes & Benjamin, 1925)",species,,Eichlinia,,lindseyi,,,Barnes_Benjamin_1925,14,
